time_s,total_packets,bytes_in_flight_avg,bytes_in_flight_max,throughput_bps,sack_count,window_size,retransmissions,dupacks,ooo_packets,zero_window_probes,mss_avg,data_bytes,goodput_bps,retrans_rate_pct,ooo_rate_pct,avg_window
213,345,23690.4,23690.4,8865.084112149532,2,0,31,11,31,345,1460,237141,8865.084112149532,8.985507246376812,8.985507246376812,0.0
214,255,9415.925490196078,9415.925490196078,5473.823255813953,1,0,1,0,0,255,1460,147109,5473.823255813953,0.39215686274509803,0.0,0.0
215,230,76784.51739130435,76784.51739130435,5588.7037037037035,2,0,21,10,6,230,1460,150895,5588.7037037037035,9.130434782608695,2.608695652173913,0.0
216,418,79269.23923444976,79269.23923444976,13162.543778801843,2,0,52,23,57,418,1460,357034,13162.543778801843,12.440191387559809,13.636363636363635,0.0
217,139,13397.093525179856,13397.093525179856,1770.788990825688,0,0,0,0,0,139,1460,48254,1770.788990825688,0.0,0.0,0.0
218,76,11202.776315789473,11202.776315789473,1134.4657534246576,0,0,0,0,0,76,1460,31056,1134.4657534246576,0.0,0.0,0.0
219,11,1456.3636363636363,1456.3636363636363,189.4181818181818,0,0,2,0,0,11,1460,5209,189.4181818181818,18.181818181818183,0.0,0.0
220,76,193375.7894736842,193375.7894736842,2555.8009049773755,1,0,1,5,8,76,1460,70604,2555.8009049773755,1.3157894736842104,10.526315789473683,0.0
221,7,3146.5714285714284,3146.5714285714284,187.38738738738738,0,0,0,0,0,7,1460,5200,187.38738738738738,0.0,0.0,0.0
222,14,27572.928571428572,27572.928571428572,36.95067264573991,0,0,0,0,0,14,1460,1030,36.95067264573991,0.0,0.0,0.0
226,12,5272.333333333333,5272.333333333333,268.68722466960355,0,0,0,0,0,12,1460,7624,268.68722466960355,0.0,0.0,0.0
229,3,230.66666666666666,230.66666666666666,2.017391304347826,0,0,0,0,0,3,1460,58,2.017391304347826,0.0,0.0,0.0
234,12,6555.416666666667,6555.416666666667,259.4382978723404,0,0,0,0,0,12,1460,7621,259.4382978723404,0.0,0.0,0.0
244,22,2428.2272727272725,2428.2272727272725,366.56326530612245,0,0,0,0,0,22,1460,11226,366.56326530612245,0.0,0.0,0.0
245,16,9278.375,9278.375,489.6260162601626,0,0,0,0,0,16,1460,15056,489.6260162601626,0.0,0.0,0.0
246,22,23039.727272727272,23039.727272727272,738.1052631578947,0,0,0,0,0,22,1460,22789,738.1052631578947,0.0,0.0,0.0
247,12,15894.75,15894.75,211.80645161290323,0,0,0,0,0,12,1460,6566,211.80645161290323,0.0,0.0,0.0
249,13,27526.53846153846,27526.53846153846,299.456,0,0,0,0,0,13,1460,9358,299.456,0.0,0.0,0.0
250,15,5141.066666666667,5141.066666666667,243.56972111553785,1,0,0,0,0,15,1460,7642,243.56972111553785,0.0,0.0,0.0
251,1,26392.0,26392.0,0.0,0,0,0,0,0,1,1460,0,0.0,0.0,0.0,0.0
257,27,1231.7777777777778,1231.7777777777778,175.03875968992247,0,0,0,0,0,27,1460,5645,175.03875968992247,0.0,0.0,0.0
258,4,3275.75,3275.75,0.803088803088803,1,0,0,0,0,4,1460,26,0.803088803088803,0.0,0.0,0.0
259,2,1561.0,1561.0,0.4,1,0,0,0,0,2,1460,13,0.4,0.0,0.0,0.0
260,4,1892.0,1892.0,0.7969348659003831,1,0,0,0,0,4,1460,26,0.7969348659003831,0.0,0.0,0.0
261,2,1538.0,1538.0,0.3969465648854962,1,0,0,0,0,2,1460,13,0.3969465648854962,0.0,0.0,0.0
262,4,1715.0,1715.0,0.7908745247148289,1,0,0,0,0,4,1460,26,0.7908745247148289,0.0,0.0,0.0
263,10,42200.7,42200.7,1.9696969696969697,1,0,0,0,0,10,1460,65,1.9696969696969697,0.0,0.0,0.0
269,3,225.33333333333334,225.33333333333334,1.7185185185185186,0,0,0,0,0,3,1460,58,1.7185185185185186,0.0,0.0,0.0
270,13,718.6153846153846,718.6153846153846,171.98523985239854,0,0,0,0,0,13,1460,5826,171.98523985239854,0.0,0.0,0.0
271,22,4232.772727272727,4232.772727272727,218.7941176470588,0,0,0,0,0,22,1460,7439,218.7941176470588,0.0,0.0,0.0
277,43,3093.7906976744184,3093.7906976744184,406.3884892086331,0,0,0,0,0,43,1460,14122,406.3884892086331,0.0,0.0,0.0
282,9,9527.333333333334,9527.333333333334,175.32155477031802,0,0,0,0,0,9,1460,6202,175.32155477031802,0.0,0.0,0.0
289,3,222.66666666666666,222.66666666666666,1.6,0,0,0,0,0,3,1460,58,1.6,0.0,0.0,0.0
